Country Name,1990,1995,2000,2005,2010,2015,2020
Australia,311840666465.053,368725126225.126,416901962163.479,696811489612.816,1152566632022.13,1356805839935.9,1333336461648.09
Austria,165811372382.912,240094169510.031,196181599831.287,313952317330.776,389827789217.634,379546097300.633,434397601557.696
Belarus,17389558232.9317,13972683273.5692,12736856827.9847,30210091836.8294,57231904542.8755,56454769844.7632,61371673344.7424
Belgium,205331747947.851,288025588396.278,236792460312.471,385714762230.039,481556503720.001,461044767544.531,529694473501.791
Bulgaria,20632090909.0909,18991484420.36,13245990274.4581,29868657858.0082,50689051382.4361,50765918159.1476,70486877546.4901
Canada,596075591360.987,605961090061.207,744773415931.587,1173108598778.68,1617343367486.26,1556508816217.14,1655684730000.19
Croatia,25650213279.6781,22772394546.6058,22134411297.473,45013119281.806,58975205417.3439,50998893384.8289,57959843541.3699
Cyprus,5591130217.66965,9933137128.07244,9985847313.85485,18433412510.8817,25799940077.6075,19909278416.8575,25555093854.2968
Czechia,41016881802.4843,60572381311.2283,62175642238.0847,137264185596.1,211168667286.27,189107698561.919,251109660602.536
Denmark,138217740684.484,184848481008.139,164043817223.59,265150087711.985,322345594075.47,301758922337.637,355631021931.621
Finland,141446120354.533,134060457516.34,125967821110.589,204859368790.661,249429613683.334,233210733506.25,270000311606.226
France,1257649439826.53,1595219345511.89,1360959069477.49,2192146403028.17,2646230027988.34,2442483452642.5,2647926055110.05
Germany,1778162195860.07,2593053091306.13,1966980701145.1,2893393187361.87,3467093769666.67,3425099578746.09,3941398957073.94
Greece,96529587274.2906,134974613913.811,125760166224.805,242315668619.405,296417644404.034,194567373678.099,191362985554.861
Hungary,34478360678.756,46577614588.9926,47275954428.9586,113098237570.929,131898737241.166,125244126623.289,158468487754.196
Iceland,6694851159.32729,7372640168.67697,9140168922.35677,17146410560.5279,13922711576.5124,17700486957.1907,22034665040.7901
Ireland,49305632408.4929,69139823232.3232,100207610429.909,211876989655.907,221732824603.484,302101388556.271,436009027818.948
Italy,1183945130898.51,1177369428265.78,1149661363439.38,1864982261286.85,2144936254535,1845428048839.1,1907481094079.23
Japan,3185904656663.85,5545563663889.7,4968359075956.59,4831467035389.8,5759071769013.11,4444930651964.18,5054068005376.28
Kazakhstan,26932016269.6107,20374302652.3819,18291990662.0356,57123671733.8952,148047348240.643,184388404706.042,171082365861.423
Liechtenstein,1421509216.37424,2428525060.69927,2483889858.32312,3659319116.88057,5082337238.44718,6268515276.17441,6405870210.32293
Luxembourg,12778792853.6939,20853093869.7318,21230182989.3036,37672280120.4794,56213985987.4168,60071584216.1375,73670782100.3909
Malta,2547328747.50761,3709396044.85885,4036809815.46617,6393234992.55141,9097044159.26912,11340795042.0881,16404663226.4598
Monaco,2481307077.10989,3130309995.30848,2654462665.26893,4204652898.73103,5367561569.59548,6264756528.37691,6730736282.78961
Netherlands,318799003993.707,452967334614.329,417649282153.726,688133699635.797,852464982433.335,775743675302.734,932560861701.17
New Zealand,45495129385.0475,63918703506.9075,52623281956.7031,114720129550.095,146887902524.052,178224167087.99,213029554653.687
Norway,119791843059.572,152029612324.788,171457201935.968,309978579743.888,431052143940.438,388159512245.53,367633418886.627
Poland,65977748210.5263,142838527115.448,172953527033.013,306999913150.525,478111630683.514,480054118583.367,605914237903.742
Portugal,78713860216.5659,118122007430.012,118605192877.388,197253876704.921,238443864993.217,199038523119.639,229618773422.577
Romania,38247882300.4904,37430162102.6125,37253739511.1273,98454380120.0761,170064350671.827,177885131240.315,250625048303.578
Russian Federation,517014446227.929,395537185734.854,259710142196.943,764015973481.11,1524916715223.95,1363482182197.71,1493075894362.14
Slovak Republic,12915046978.1615,26180022222.2222,29215726004.7765,62547753148.4638,91112160800.7668,89178548717.3324,107732602896.441
Slovenia,19832029087.1272,21367422159.3207,20159190701.6789,35947936823.7781,47793117240.9001,42709468274.8137,53384760135.1581
Spain,536175326477.31,614170002668.802,598102854756.08,1154667551775.88,1427989078916.67,1206164777553.12,1289783836971.21
Sweden,261466577008.853,267050453506.792,262903560280.282,391688455928.597,492750897239.447,501602351911.6,544265668451.678
Switzerland,265763573999.424,352835806342.495,279216033870.204,418284865884.998,598851028906.58,694118186379.628,741999406005.627
Turkiye,150655500191.644,234699627004.035,274748463178.502,508314210212.544,782545664268.333,865460050683.656,733628247119.077
Ukraine,81393558423.4406,48213856468.5718,32375083934.8241,89238865118.5263,141209170427.233,91030967789.0717,156617722013.342
United Kingdom,1093169389204.55,1349094208616.06,1671597821152.97,2551361818181.82,2496740681057.14,2945579890258.46,2724001478304.59
United States,5963144000000,7639749000000,10250947997000,13039199193000,15048964444000,18206020741000,21060473613000
