Country Name,1990,1995,2000,2005,2010,2015,2020
Australia,17065128,18004882,19028802,20176844,22031750,23815995,25649248
Austria,7677850,7948278,8011566,8227829,8363404,8642699,8916864
Belarus,10189348,10193831,9979610,9663915,9483836,9461076,9379952
Belgium,9967379,10136811,10251250,10478617,10895586,11274196,11538604
Bulgaria,8718289,8406067,8170172,7658972,7395599,6984225,6550696
Canada,27691138,29302311,30685730,32242732,34005902,35704498,38028638
Croatia,4777368,4620030,4468302,4310145,4295427,4151725,3914206
Cyprus,788351,862695,947667,1036151,1127816,1219502,1302247
Czechia,10333355,10327253,10255063,10211216,10474410,10546059,10697858
Denmark,5140939,5233373,5339616,5419432,5547683,5683483,5831404
Finland,4986431,5107790,5176209,5246096,5363352,5479531,5529543
France,58261012,59541294,60918661,63180854,65026211,66548272,67601110
Germany,79433029,81678051,82211508,82469422,81776930,81686611,83160871
Greece,10196792,10562153,10805808,10987314,11121341,10820883,10698599
Hungary,10373988,10328965,10210971,10087065,10000023,9797755,9670419
Iceland,254826,267468,281205,296734,318041,330815,366463
Ireland,3513974,3608841,3805174,4159914,4560155,4701957,5039747
Italy,56719240,56844303,56942108,58166682,59819407,60229605,59438851
Japan,123478000,125472000,126843000,127773000,128070000,127141000,126261000
Kazakhstan,17154054,16730536,15501103,15968117,16836810,18084169,19482117
Liechtenstein,28742,30776,32645,34753,36022,37494,38901
Luxembourg,381850,408625,436300,465158,506953,569604,630419
Malta,354170,377419,390087,403834,414508,444220,515490
Monaco,30358,31609,32455,32210,33163,36757,38050
Netherlands,14951510,15459006,15925513,16319868,16615394,16939923,17441500
New Zealand,3329800,3673400,3857700,4133900,4350700,4609400,5072400
Norway,4241473,4359184,4490967,4623291,4889252,5188607,5379475
Poland,38110782,38594998,38258629,38165445,38042794,37986412,37515748
Portugal,9983218,10026176,10289898,10503330,10573100,10358076,10297081
Romania,23201835,22684270,22442971,21319685,20246871,19815616,19265250
Russian Federation,147969406,148375787,146596869,143518814,142849468,144640716,145245148
Slovak Republic,5299187,5361999,5388720,5372807,5391428,5423801,5458827
Slovenia,1998161,1989872,1988925,2000474,2048583,2063531,2102419
Spain,38867322,39724050,40567864,43653155,46576897,46422303,47359424
Sweden,8558835,8826939,8872109,9029572,9378126,9799186,10353442
Switzerland,6715519,7040687,7184250,7437115,7824909,8282396,8638167
Turkiye,56015628,61024503,65425961,69329557,73142150,78218479,83384680
Ukraine,52054092,51665539,49556660,47585556,46456003,45784896,44680014
United Kingdom,57247586,58019030,58892514,60401206,62766365,65088000,66744000
United States,249623000,266278000,282162411,295516599,309378227,321815121,331577720
