Country Name,Year,GDP,Population,GHG,GDP_per_capita,GHG_per_capita
Australia,1990,311840666465.053,17065128,425624.31,18273.561526468067,0.024941173016692287
Austria,1990,165811372382.912,7677850,79047.23,21596.068219998044,0.010295490273969926
Belarus,1990,17389558232.9317,10189348,145339.89,1706.6409188234322,0.014263904815106915
Belgium,1990,205331747947.851,9967379,145844.47,20600.375278982672,0.014632178629908624
Bulgaria,1990,20632090909.0909,8718289,98910.34,2366.5298212861376,0.011345154995435458
Canada,1990,596075591360.987,27691138,588602.82,21525.861138714743,0.021255999663141324
Croatia,1990,25650213279.6781,4777368,31454.18,5369.109785906821,0.006583997715897121
Cyprus,1990,5591130217.66965,788351,5571.73,7092.183833939007,0.007067575229815146
Czechia,1990,41016881802.4843,10333355,198775.27,3969.3673354379384,0.01923627611748556
Denmark,1990,138217740684.484,5140939,71820.94,26885.699418819015,0.013970393346429515
Finland,1990,141446120354.533,4986431,71087.75,28366.204276071,0.014256238580259107
France,1990,1257649439826.53,58261012,540830.69,21586.467461748347,0.009282892133765201
Germany,1990,1778162195860.07,79433029,1251224.78,22385.677825027546,0.015751945956889044
Greece,1990,96529587274.2906,10196792,103985.69,9466.66238502174,0.010197882824323571
Hungary,1990,34478360678.756,10373988,94985.02,3323.5396723763315,0.009156075754088014
Iceland,1990,6694851159.32729,254826,3682.04,26272.245215665942,0.0144492320249896
Ireland,1990,49305632408.4929,3513974,55642.84,14031.302567546856,0.015834732983226397
Italy,1990,1183945130898.51,56719240,521480.34,20873.78340927188,0.00919406430692654
Japan,1990,3185904656663.85,123478000,1269334.03,25801.39503930943,0.010279839566562464
Kazakhstan,1990,26932016269.6107,17154054,386682.79,1570.0088311259076,0.022541772924347794
Liechtenstein,1990,1421509216.37424,28742,229.64,49457.56093432051,0.007989701482151555
Luxembourg,1990,12778792853.6939,381850,12722.41,33465.47820791908,0.033317821133953124
Malta,1990,2547328747.50761,354170,2626.43,7192.389946939633,0.00741573255781122
Monaco,1990,2481307077.10989,30358,102.46,81734.86649680117,0.0033750576454311875
Netherlands,1990,318799003993.707,14951510,221781.04,21322.19448027035,0.014833353955553654
New Zealand,1990,45495129385.0475,3329800,64720.07,13663.021618429786,0.019436623821250526
Norway,1990,119791843059.572,4241473,50712.45,28242.981402822086,0.011956329793918292
Poland,1990,65977748210.5263,38110782,474554.32,1731.209509438203,0.012451970153748092
Portugal,1990,78713860216.5659,9983218,59473.35,7884.617987563319,0.005957332595561872
Romania,1990,38247882300.4904,23201835,257137.18,1648.4852297454233,0.011082622559810462
Russian Federation,1990,517014446227.929,147969406,3166579.05,3494.063132401363,0.021400228166084546
Slovak Republic,1990,12915046978.1615,5299187,73738.67,2437.1751701084527,0.013915091126242573
Slovenia,1990,19832029087.1272,1998161,18797.65,9925.140710446856,0.009407475173421963
Spain,1990,536175326477.31,38867322,287710.27,13795.01593851282,0.007402369270514702
Sweden,1990,261466577008.853,8558835,71478.31,30549.31857067615,0.00835140647062363
Switzerland,1990,265763573999.424,6715519,54933.88,39574.53980837877,0.008180139167203606
Ukraine,1990,81393558423.4406,52054092,942800.47,1563.6341985072104,0.018111937674371498
United Kingdom,1990,1093169389204.55,57247586,806301.84,19095.466998460863,0.014084468819348994
United States,1990,5963144000000.0,249623000,6487330.95,23888.60000881329,0.025988514479835592
Australia,1995,368725126225.126,18004882,439269.88,20479.17482742325,0.024397265141754332
Austria,1995,240094169510.031,7948278,79953.24,30207.067431465155,0.010059190179306763
Belarus,1995,13972683273.5692,10193831,87955.99,1370.6999138566453,0.008628354737291604
Belgium,1995,288025588396.278,10136811,153579.82,28413.8264387368,0.015150703707507224
Bulgaria,1995,18991484420.36,8406067,72168.36,2259.2592255522113,0.008585270614664384
Canada,1995,605961090061.207,29302311,639070.29,20679.63479266898,0.021809552495705885
Croatia,1995,22772394546.6058,4620030,22686.43,4929.0577218342305,0.004910450797938542
Cyprus,1995,9933137128.07244,862695,6972.18,11514.077545450524,0.008081859753447046
Czechia,1995,60572381311.2283,10327253,158371.95,5865.29460556726,0.015335341353601002
Denmark,1995,184848481008.139,5233373,79748.73,35321.09807730865,0.015238495326054534
Finland,1995,134060457516.34,5107790,71743.59,26246.27432144626,0.014045916139856963
France,1995,1595219345511.89,59541294,534172.16,26791.815198236873,0.00897145701939229
Germany,1995,2593053091306.13,81678051,1120660.81,31747.24493984473,0.013720464632536348
Greece,1995,134974613913.811,10562153,109581.12,12779.08149160602,0.01037488474177566
Hungary,1995,46577614588.9926,10328965,77647.68,4509.417409100776,0.007517469562536033
Iceland,1995,7372640168.67697,267468,3554.69,27564.569102385965,0.013290150597454649
Ireland,1995,69139823232.3232,3608841,60080.66,19158.45647739072,0.016648187049526426
Italy,1995,1177369428265.78,56844303,535653.71,20712.179869032436,0.009423173154220924
Japan,1995,5545563663889.7,125472000,1373818.25,44197.61910139075,0.010949201813950522
Kazakhstan,1995,20374302652.3819,16730536,260567.69,1217.7913876986308,0.015574377892017327
Liechtenstein,1995,2428525060.69927,30776,234.41,78909.70433777195,0.007616649337145827
Luxembourg,1995,20853093869.7318,408625,10078.52,51032.34963531796,0.024664472315692874
Malta,1995,3709396044.85885,377419,2691.06,9828.32354719516,0.0071301656779335434
Monaco,1995,3130309995.30848,31609,105.44,99032.23750540921,0.0033357588028725994
Netherlands,1995,452967334614.329,15459006,231305.57,29301.19404923764,0.014962512466842952
New Zealand,1995,63918703506.9075,3673400,68394.7,17400.420184817198,0.018618908912723907
Norway,1995,152029612324.788,4359184,50834.46,34875.70433475348,0.011661462328729413
Poland,1995,142838527115.448,38594998,446731.87,3700.959567751448,0.011574864442278246
Portugal,1995,118122007430.012,10026176,69306.34,11781.361850222058,0.00691253973598708
Romania,1995,37430162102.6125,22684270,188741.81,1650.0492236520065,0.008320382802708661
Russian Federation,1995,395537185734.854,148375787,2070711.49,2665.7798669998224,0.013955858512143898
Slovak Republic,1995,26180022222.2222,5361999,53179.97,4882.511582382279,0.009917937321510131
Slovenia,1995,21367422159.3207,1989872,18863.25,10738.088761146799,0.009479629845537803
Spain,1995,614170002668.802,39724050,327011.05,15460.911026665257,0.008232067223759914
Sweden,1995,267050453506.792,8826939,73326.17,30254.027302872717,0.008307089241242066
Switzerland,1995,352835806342.495,7040687,53818.43,50113.83212213453,0.0076439174188541546
Ukraine,1995,48213856468.5718,51665539,562107.58,933.1917831839866,0.010879739007464917
United Kingdom,1995,1349094208616.06,58019030,757644.22,23252.615712742183,0.013058546825067567
United States,1995,7639749000000.0,266278000,6821933.72,28690.875701334695,0.02561959200534779
Australia,2000,416901962163.479,19028802,489528.65,21908.996801978337,0.025725668384168378
Austria,2000,196181599831.287,8011566,80619.36,24487.29746859565,0.010062871603379415
Belarus,2000,12736856827.9847,9979610,81145.92,1276.2880340999998,0.008131171458604093
Belgium,2000,236792460312.471,10251250,148877.33,23098.88650774013,0.014522846482136323
Bulgaria,2000,13245990274.4581,8170172,57387.46,1621.2621073899177,0.00702402103652163
Canada,2000,744773415931.587,30685730,719463.71,24271.002056382138,0.023446198281742034
Croatia,2000,22134411297.473,4468302,25653.65,4953.65158789021,0.005741252493676569
Cyprus,2000,9985847313.85485,947667,8306.44,10537.295604737583,0.008765146406912977
Czechia,2000,62175642238.0847,10255063,151139.21,6062.921528427929,0.014738008923007103
Denmark,2000,164043817223.59,5339616,72662.45,30722.025183756657,0.013608178940208434
Finland,2000,125967821110.589,5176209,70136.61,24335.922508265994,0.013549802567863856
France,2000,1360959069477.49,60918661,548714.51,22340.593951621653,0.009007330446741107
Germany,2000,1966980701145.1,82211508,1040191.83,23925.855990199085,0.0126526304565536
